customerid,name,email,city,country
1,John Doe,john@example.com,New York,USA
2,Morrison David,morrison@example.com,kilcoole,USA
3,Kevin Ryan,kevin@example.com,Cork,Ireland
4,Don Romer,don@example.com,San Antonio,USA
5,Derek Powell,derek@example.com,San Antonio,USA
6,David Morrison,david@example.com,kilcoole,USA
7,Miriam Snyder,miriam@example.com,Barranquilla,Colombia
8,Jimmie Klein,jimmie@example.com,San Antonio,USA
9,Grover Webb,grover@example.com,San Antonio,USA
10,Kate Hale,kate@example.com,Manchester,UK
